নং	দেশ	মহাদেশ	জাতিসংঘের অনুমান	তারিখ
৭৩ 	 সোমালিয়া 	আফ্রিকা 	১,৫৪,৪২,৯০৫ 	১ জুলাই ২০১৯
৭৪ 	 জিম্বাবুয়ে 	আফ্রিকা 	১,৪৬,৪৫,৪৬৮ 	১ জুলাই ২০১৯
৭৫ 	 গিনি 	আফ্রিকা 	১,২৭,৭১,২৪৬ 	১ জুলাই ২০১৯
৭৬ 	 রুয়ান্ডা 	আফ্রিকা 	১,২৬,২৬,৯৫০ 	১ জুলাই ২০১৯
৭৭ 	 বেনিন 	আফ্রিকা 	১,১৮,০১,১৫১ 	১ জুলাই ২০১৯
৭৮ 	 তিউনিসিয়া 	আফ্রিকা 	১,১৬,৯৪,৭১৯ 	১ জুলাই ২০১৯
৭৯ 	 বেলজিয়াম 	ইউরোপ 	১,১৫,৩৯,৩২৮ 	১ জুলাই ২০১৯
৮০ 	 বলিভিয়া 	আমেরিকা 	১,১৫,১৩,১০০ 	১ জুলাই ২০১৯
৮১ 	 কিউবা 	আমেরিকা 	১,১৩,৩৩,৪৮৩ 	১ জুলাই ২০১৯
৮২ 	 হাইতি 	আমেরিকা 	১,১২,৬৩,৭৭০ 	১ জুলাই ২০১৯
৮৩ 	 দক্ষিণ সুদান 	আফ্রিকা 	১,১০,৬২,১১৩ 	১ জুলাই ২০১৯
৮৪ 	 বুরুন্ডি 	আফ্রিকা 	১,০৮,৬৪,২৪৫ 	১ জুলাই ২০১৯
৮৫ 	 ডোমিনিকান প্রজাতন্ত্র 	আমেরিকা 	১,০৭,৩৮,৯৫৮ 	১ জুলাই ২০১৯
৮৬ 	 চেক প্রজাতন্ত্র 	ইউরোপ 	১,০৬,৮৯,২০৯ 	১ জুলাই ২০১৯
৮৭ 	 গ্রিস 	ইউরোপ 	১,০৪,৭৩,৪৫৫ 	১ জুলাই ২০১৯
৮৮ 	 পর্তুগাল 	ইউরোপ 	১,০২,২৬,১৮৭ 	১ জুলাই ২০১৯
৮৯ 	 জর্দান 	এশিয়া 	১,০১,০১,৬৯৪ 	১ জুলাই ২০১৯
৯০ 	 আজারবাইজান[৫] 	ইউরোপ-এশিয়া 	১,০০,৪৭,৭১৮ 	১ জুলাই ২০১৯
৯১ 	 সুইডেন 	ইউরোপ 	১,০০,৩৬,৩৭৯ 	১ জুলাই ২০১৯
৯২ 	 সংযুক্ত আরব আমিরাত 	এশিয়া 	৯৭,৭০,৫২৯ 	১ জুলাই ২০১৯
৯৩ 	 হন্ডুরাস 	আমেরিকা 	৯৭,৪৬,১১৭ 	১ জুলাই ২০১৯
৯৪ 	 হাঙ্গেরি 	ইউরোপ 	৯৬,৮৪,৬৭৯ 	১ জুলাই ২০১৯
৯৫ 	 বেলারুশ 	ইউরোপ 	৯৪,৫২,৪১১ 	১ জুলাই ২০১৯
৯৬ 	 তাজিকিস্তান 	এশিয়া 	৯৩,২১,০১৮ 	১ জুলাই ২০১৯
৯৭ 	 অস্ট্রিয়া 	ইউরোপ 	৮৯,৫৫,১০২ 	১ জুলাই ২০১৯
৯৮ 	 পাপুয়া নিউ গিনি 	ওশেনিয়া 	৮৭,৭৬,১০৯ 	১ জুলাই ২০১৯
৯৯ 	 সার্বিয়া[৬] 	ইউরোপ 	৮৭,৭২,২৩৫ 	১ জুলাই ২০১৯
১০০ 	  সুইজারল্যান্ড 	ইউরোপ 	৮৫,৯১,৩৬৫ 	১ জুলাই ২০১৯
১০১ 	 ইসরায়েল 	এশিয়া 	৮৫,১৯,৩৭৭ 	১ জুলাই ২০১৯
১০২ 	 টোগো 	আফ্রিকা 	৮০,৮২,৩৬৬ 	১ জুলাই ২০১৯
১০৩ 	 সিয়েরা লিওন 	আফ্রিকা 	৭৮,১৩,২১৫ 	১ জুলাই ২০১৯
১০৪ 	 হংকং (চীন) 	এশিয়া 	৭৪,৩৬,১৫৪ 	১ জুলাই ২০১৯
১০৫ 	 লাওস 	এশিয়া 	৭১,৬৯,৪৫৫ 	১ জুলাই ২০১৯
১০৬ 	 প্যারাগুয়ে 	আমেরিকা 	৭০,৪৪,৬৩৬ 	১ জুলাই ২০১৯
১০৭ 	 বুলগেরিয়া 	ইউরোপ 	৭০,০০,১১৯ 	১ জুলাই ২০১৯
১০৮ 	 লেবানন 	এশিয়া 	৬৮,৫৫,৭১৩ 	১ জুলাই ২০১৯
১০৯ 	 লিবিয়া 	আফ্রিকা 	৬৭,৭৭,৪৫২ 	১ জুলাই ২০১৯
১১০ 	 নিকারাগুয়া 	আমেরিকা 	৬৫,৪৫,৫০২ 	১ জুলাই ২০১৯
১১১ 	 এল সালভাদোর 	আমেরিকা 	৬৪,৫৩,৫৫৩ 	১ জুলাই ২০১৯
১১২ 	 কিরগিজিস্তান 	এশিয়া 	৬৪,১৫,৮৫০ 	১ জুলাই ২০১৯
১১৩ 	 তুর্কমেনিস্তান 	এশিয়া 	৫৯,৪২,০৮৯ 	১ জুলাই ২০১৯
১১৪ 	 সিঙ্গাপুর 	এশিয়া 	৫৮,০৪,৩৩৭ 	১ জুলাই ২০১৯
